epoch,acc,loss,val_acc,val_loss
0,0.8450000034438239,0.3612345463699765,0.8832196518473866,0.29306360270121573
1,0.8785340297492595,0.28330460876278435,0.8851296173111316,0.28415814688553753
2,0.8819546262839286,0.274922887203373,0.8935879929166536,0.26459802803043453
3,0.8813961567470957,0.2773723635061873,0.8873124110422226,0.265472316237784
4,0.889493885901586,0.2645958342165223,0.8824010887380186,0.2744717084450741
5,0.8873298383300009,0.2678487476045965,0.8826739358706819,0.27519439162856724
6,0.8840488587582507,0.26926658952423416,0.8935879887695365,0.26866451442485617
7,0.8885863815718712,0.2649094483095106,0.8826739358706819,0.26481339843666735
8,0.8906108200654101,0.25632328558030554,0.885402461191154,0.261284998095865
9,0.8902617779701792,0.2567260605398481,0.8965893503263247,0.2549510421726909
