iter	AUC	CrossEntropy
65	0.7685774267	0.5680386574
66	0.7688491642	0.5671136574
67	0.7691373825	0.5662179398
68	0.7695144713	0.5653347222
69	0.7698301673	0.5644743056
70	0.7700040638	0.5636122106
71	0.7703101039	0.5627951389
72	0.770547986	0.5619710069
73	0.7708248496	0.5611720486
74	0.7712263465	0.5603851273
75	0.7714136839	0.5596181713
76	0.7716402411	0.5588434028
77	0.7719981372	0.558114294
78	0.7722766995	0.5574061343
79	0.7725569308	0.5566620949
80	0.7729620039	0.5559536458
81	0.773322612	0.5552926505
82	0.7734960318	0.5545619792
83	0.7738778591	0.5538715278
84	0.774154067	0.5531903356
85	0.774422437	0.5525324074
86	0.7746533155	0.5518637153
87	0.7748236656	0.5512076968
88	0.775116533	0.5505621528
89	0.7754493952	0.5499612269
90	0.7756008804	0.5493155093
91	0.7759360671	0.5487298611
92	0.7761486769	0.5481429398
93	0.776398778	0.5475671875
94	0.7765213847	0.5469700231
95	0.7767366171	0.5463890046
96	0.776920259	0.5458189815
97	0.7773155272	0.5452852431
98	0.7774735689	0.5447168403
99	0.7777099907	0.5441546296
100	0.7780333161	0.5436548611
101	0.7782878876	0.5431060185
102	0.7785788774	0.5426108218
103	0.7787904143	0.5420929977
104	0.7790614367	0.5415918981
105	0.7792868018	0.5410891204
106	0.7794935107	0.5405858218
107	0.779738605	0.5401020833
108	0.7798472643	0.5396046296
109	0.7801828682	0.5391336227
110	0.7804579139	0.5386469329
111	0.7807783484	0.5381796296
112	0.7809100151	0.5377287037
113	0.7812495828	0.537308044
114	0.7815329134	0.5368926505
115	0.7817308903	0.5364741319
116	0.7820016742	0.5360514468
117	0.7821896076	0.535611169
118	0.782443732	0.5351956597
119	0.7827451229	0.5347878472
120	0.7829266191	0.5343566551
121	0.7831745744	0.5339471065
122	0.7834108472	0.5335450231
123	0.7835399508	0.5331198495
124	0.7837876678	0.5327551505
125	0.7839647532	0.5323882523
126	0.7841365933	0.5319957755
127	0.7841724753	0.5315934606
128	0.7842602134	0.5311883681
129	0.7846472263	0.5308381944
130	0.7847978473	0.5304720486
131	0.7849909067	0.5301029514
132	0.7852760851	0.5297577546
133	0.7853982449	0.5293899306
134	0.785587132	0.5290337384
135	0.7856625915	0.528664294
136	0.7858170867	0.5283321759
137	0.7860147953	0.5279947338
138	0.7862168252	0.5276586806
139	0.7863903642	0.5273379051
140	0.7865067124	0.5270037616
141	0.7866435051	0.5266697338
142	0.7867645621	0.5263461227
143	0.786883384	0.5260273148
144	0.7870407104	0.525711169
145	0.7872316837	0.5253885417
146	0.7873542607	0.5250738426
147	0.7875105143	0.5247634838
148	0.7877185941	0.5244553819
149	0.7879908085	0.5241601273
150	0.7881442904	0.5238680556
151	0.7883803844	0.5235905093
152	0.7885994613	0.5233197338
153	0.7887712121	0.523037037
154	0.7889465988	0.5227543403
155	0.7891325355	0.5224792824
156	0.789329052	0.5221828704
157	0.7894564867	0.5218940972
158	0.7895455658	0.5216085648
159	0.789704293	0.5213429977
160	0.789806366	0.5210542824
161	0.7899477482	0.520783912
162	0.7901266813	0.5205265046
163	0.7902752161	0.5202664931
164	0.7904439569	0.5200224537
165	0.7905247808	0.5197637731
166	0.7906562686	0.5195005208
167	0.7908428311	0.5192406829
168	0.7910569906	0.5190056713
169	0.7911634445	0.5187391782
170	0.7913038731	0.5185001157
171	0.7913818061	0.5182325231
172	0.7914891839	0.5179826968
173	0.7916029692	0.517725463
174	0.7916717529	0.5174824653
175	0.7918942571	0.5172702546
176	0.7921042144	0.5170494792
177	0.7922394276	0.5168098958
178	0.7923610806	0.5165769097
179	0.7925075293	0.5163466435
180	0.7925598025	0.5161170139
181	0.7926864624	0.5158854167
182	0.7928248048	0.5156712384
183	0.7929694057	0.5154439236
184	0.7930309772	0.5152159144
185	0.7931699455	0.5149886574
186	0.7932239175	0.5147663773
187	0.7933443785	0.5145505208
188	0.7934515476	0.5143181713
189	0.7935590744	0.5141215856
190	0.7936697602	0.5139146991
191	0.7937973142	0.5136936343
192	0.7939388156	0.5134879051
193	0.7940639257	0.5133050347
194	0.7941973209	0.5131071181
195	0.7943241596	0.5128960648
196	0.7944200933	0.5126884838
197	0.7945407033	0.5124944444
198	0.7946595252	0.512291956
199	0.7948005199	0.5120993056
200	0.7948958278	0.5118972801
201	0.7950159013	0.5117105324
202	0.7951654196	0.5115274884
203	0.7952957749	0.5113491319
204	0.7954187989	0.5111581019
205	0.7955406606	0.5109671296
206	0.7956829071	0.5107880787
207	0.795742929	0.5105981481
208	0.7958513796	0.5104194444
209	0.7959436774	0.5102327546
210	0.7960698605	0.5100513889
211	0.7961892486	0.5098726852
212	0.7962663174	0.5096814236
213	0.7964196801	0.5095105903
214	0.7964996696	0.5093220486
215	0.7965401411	0.5091511574
216	0.7966397405	0.5089813657
217	0.7967590094	0.508811169
218	0.7968721986	0.5086413194
219	0.796946764	0.5084631366
220	0.7970602512	0.5083001736
221	0.7971486151	0.5081326968
222	0.7972353101	0.5079711227
223	0.7973071635	0.5077982639
224	0.7973791361	0.5076282986
225	0.7975107431	0.5074642361
226	0.7975988388	0.5072803819
227	0.7976952195	0.5071328125
228	0.7977986038	0.5069633102
229	0.7978813946	0.5068134259
230	0.7979629636	0.5066619213
231	0.7980303168	0.5064963542
232	0.7980627418	0.5063407986
233	0.7981373072	0.5061881366
234	0.7982004285	0.5060438079
235	0.7982847691	0.5058826968
236	0.798407495	0.5057306134
237	0.7985015512	0.5055861111
238	0.7985797524	0.5054401042
239	0.7986822724	0.5052877894
240	0.7987938225	0.5051333333
241	0.798863709	0.5049786458
242	0.7989429832	0.5048458912
243	0.7990455031	0.5047011574
244	0.7990825772	0.5045510417
245	0.79917261	0.5044052662
246	0.7992485762	0.5042644097
247	0.799326539	0.5041315972
248	0.7993872166	0.5039984954
249	0.7995076776	0.5038550347
250	0.7995646596	0.5037045718
251	0.7996678948	0.503573669
252	0.7997717559	0.5034381366
253	0.7998228669	0.5032868634
254	0.799884975	0.503148669
255	0.7999840975	0.5030118056
256	0.8000611067	0.5028783565
257	0.8001552522	0.50275625
258	0.8002374768	0.5026152199
259	0.8003050685	0.5024739583
260	0.8003659248	0.5023357639
261	0.8004449308	0.5022015625
262	0.800529927	0.5020811343
263	0.800627172	0.501953588
264	0.8006821275	0.5018148148
265	0.8007714748	0.5016861111
266	0.8007958233	0.5015590856
267	0.8008856773	0.5014277778
268	0.8009622097	0.5013055556
269	0.8010429144	0.5011761574
270	0.8011373878	0.5010427662
271	0.801237464	0.500917419
272	0.8013162017	0.5007875579
273	0.8013828099	0.500658912
274	0.8014327884	0.5005250579
275	0.8015343249	0.5003939815
276	0.8015822172	0.5002730903
277	0.8016711473	0.5001510995
278	0.8017602861	0.500029456
279	0.8018481433	0.4999136574
280	0.801894486	0.4997984954
281	0.8019739985	0.4996800347
282	0.8020392656	0.4995595486
283	0.8020907044	0.4994446181
284	0.8022032678	0.4993277778
285	0.8023071289	0.4992163773
286	0.8023955226	0.4990988426
287	0.8024656773	0.4989870949
288	0.8025382757	0.4988817708
289	0.8026259542	0.498769213
290	0.802677989	0.4986505208
291	0.8027325869	0.4985471065
292	0.8027998805	0.4984334491
293	0.8028778434	0.4983151042
294	0.8029424548	0.4982134838
295	0.8029919863	0.4981017361
296	0.803052783	0.4979916667
297	0.8031173944	0.4978825231
298	0.8031941056	0.4977700231
299	0.8032432199	0.4976479167
300	0.80330199	0.4975403935
301	0.8033469915	0.4974326968
302	0.8034149408	0.4973178241
303	0.8034731746	0.4972076389
304	0.8035284877	0.4971134838
305	0.803594172	0.4970065972
306	0.8036801815	0.4969110532
307	0.8037437797	0.4968072338
308	0.8038048148	0.4967009259
309	0.8038563132	0.4965892361
310	0.8039137125	0.4964851852
311	0.8039781451	0.4963868634
312	0.8040118814	0.4962809606
313	0.8040514886	0.4961690394
314	0.8041063547	0.496061169
315	0.8041518033	0.4959588542
316	0.804215312	0.4958614005
317	0.8042731881	0.4957566551
318	0.8043353856	0.4956703125
319	0.8044061065	0.4955677662
320	0.8044657707	0.4954730903
321	0.8045145273	0.4953751736
322	0.804564774	0.495276331
323	0.8046458364	0.4951797454
324	0.8047075868	0.4950697917
325	0.8047712445	0.4949702546
326	0.8048397899	0.4948723958
327	0.8048931658	0.4947886574
328	0.8049359918	0.4946936921
329	0.8049960136	0.4945935764
330	0.8050442338	0.4944973958
331	0.8050988913	0.4944019676
332	0.8051785231	0.494307581
333	0.8052399158	0.4942084491
334	0.8053005934	0.4941175926
335	0.8053478003	0.4940170139
336	0.8053872585	0.4939181713
337	0.8054484129	0.4938258102
338	0.8055032492	0.4937262731
339	0.8055642247	0.4936281829
340	0.8056307435	0.4935311921
341	0.805701524	0.4934457755
342	0.8057555556	0.4933553241
343	0.8058088124	0.4932606481
344	0.8058688641	0.4931755787
345	0.8059126735	0.4930913194
346	0.8059657216	0.4930076968
347	0.8060407043	0.4929195602
348	0.8060898185	0.492834375
349	0.8061063886	0.4927528935
350	0.8061475158	0.492659375
351	0.8061944842	0.4925655093
352	0.8062438369	0.4924792824
353	0.8063098788	0.4923974537
354	0.8063702583	0.4923079861
355	0.8064308465	0.4922199074
356	0.8064703345	0.4921380787
357	0.8065362573	0.4920446759
358	0.8065971434	0.4919655671
359	0.8066371083	0.4918798611
360	0.806676209	0.4917921296
361	0.8067172468	0.4917195602
362	0.8067597747	0.4916285301
363	0.8067885041	0.4915530093
364	0.8068269193	0.4914728588
365	0.8068871498	0.4913843171
366	0.8069286644	0.4913010417
367	0.8069959879	0.4912212963
368	0.8070472181	0.4911409722
369	0.8070906401	0.4910599537
370	0.8071407974	0.490972338
371	0.8071898818	0.4909009838
372	0.8072478771	0.4908210648
373	0.8072973192	0.4907434606
374	0.8073492348	0.4906686921
375	0.8073689342	0.49059375
376	0.8074118495	0.490520544
377	0.8074746132	0.4904387731
378	0.8075255752	0.4903649884
379	0.8075803816	0.4902875
380	0.80761379	0.4902055556
381	0.8076472878	0.4901280093
382	0.8076675534	0.4900509259
383	0.8077073097	0.4899697338
384	0.8077585101	0.4898910301
385	0.8078029752	0.4898142361
386	0.8078309894	0.4897389468
387	0.8078819513	0.4896724537
388	0.8079149127	0.4895922454
389	0.8079715967	0.4895230903
390	0.8080042601	0.4894462384
391	0.8080322742	0.4893697338
392	0.8080803156	0.4892928241
393	0.8081046343	0.4892188657
394	0.8081459999	0.4891422454
395	0.8082027435	0.4890652199
396	0.8082416058	0.4889935185
397	0.8083022833	0.488916956
398	0.8083382249	0.4888415509
399	0.8083971143	0.4887665509
400	0.8084493279	0.4886863426
401	0.8084920049	0.4886105324
402	0.8085351586	0.4885335648
403	0.8085775971	0.488462037
404	0.8086160421	0.4883894097
405	0.8086673617	0.4883240741
406	0.8087138832	0.4882570023
407	0.8087535501	0.4881818866
408	0.8088036478	0.4881054398
409	0.808843255	0.4880434606
410	0.8088852167	0.4879722222
411	0.8089310527	0.4879052662
412	0.8089818954	0.487829456
413	0.8090083003	0.4877577546
414	0.809055686	0.4876905093
415	0.8091078997	0.4876201968
416	0.8091388345	0.487559838
417	0.809176147	0.4874934606
418	0.8092006445	0.4874242477
419	0.809230119	0.4873575231
420	0.8092665076	0.4872967014
421	0.8092966676	0.487225
422	0.809358418	0.4871538773
423	0.8093931079	0.4870821759
424	0.8094378412	0.4870164352
425	0.8094539642	0.4869557292
426	0.8095045686	0.4868935185
427	0.8095335662	0.4868302083
428	0.8095751405	0.4867615162
429	0.8096051216	0.4866916667
430	0.8096401691	0.4866322338
431	0.8096756339	0.486568287
432	0.8097085953	0.4864945602
433	0.8097584248	0.4864258102
434	0.8097943068	0.4863510417
435	0.8098370433	0.4862873843
436	0.8098815084	0.4862158565
437	0.809931308	0.4861525463
438	0.8099695444	0.4860877894
439	0.81000036	0.4860311343
440	0.8100386858	0.4859765046
441	0.810074687	0.4859173032
442	0.8101077676	0.485845081
443	0.8101499677	0.4857791088
444	0.8101887405	0.4857161458
445	0.8102298975	0.4856516204
446	0.8102610111	0.4855821181
447	0.8102992475	0.4855223958
448	0.810338676	0.4854494502
449	0.8103840351	0.4853789063
450	0.8104093075	0.4853250868
451	0.8104447722	0.4852587674
452	0.8104758263	0.4851980324
453	0.8105272353	0.4851295428
454	0.8105812967	0.4850588831
455	0.8106225431	0.4849979167
456	0.8106639385	0.4849422454
457	0.8106956482	0.484891059
458	0.8107357025	0.4848279803
459	0.8107696474	0.4847711516
460	0.8107972145	0.4847124421
461	0.8108329177	0.4846496817
462	0.8108698726	0.4845948785
463	0.8109138012	0.484528588
464	0.8109582067	0.4844713542
465	0.8109859228	0.4844158565
466	0.8110262454	0.4843577836
467	0.8110643923	0.484290191
468	0.8111004829	0.4842260417
469	0.8111320734	0.4841737269
470	0.811169982	0.4841112558
471	0.8112040758	0.4840453414
472	0.8112443686	0.4839848958
473	0.8112924099	0.4839271412
474	0.811314106	0.4838777199
475	0.8113564849	0.4838159144
476	0.8113913536	0.4837612847
477	0.8114241958	0.4837001447
478	0.811460495	0.4836378472
479	0.8114853799	0.4835862558
480	0.8115261197	0.483527691
481	0.8115571141	0.4834710359
482	0.8115981519	0.4834102141
483	0.8116143942	0.4833625
484	0.8116604686	0.4832999132
485	0.8116864562	0.4832476852
486	0.8117194176	0.48319511
487	0.8117626905	0.4831392361
488	0.8117942214	0.4830833044
489	0.8118127584	0.483026794
490	0.8118439913	0.4829723669
491	0.8118716478	0.4829135706
492	0.8119000793	0.4828605324
493	0.8119311929	0.4828041667
494	0.8119711876	0.4827425058
495	0.8120063543	0.4826880787
496	0.8120440245	0.4826304109
497	0.8120767474	0.4825763021
498	0.8121128082	0.4825221354
499	0.8121464252	0.4824748843
500	0.812191844	0.4824206308
501	0.8122282028	0.4823659433
502	0.8122779131	0.4823091435
503	0.8123256564	0.4822528356
504	0.8123525679	0.4821998843
505	0.8123923838	0.4821499421
506	0.8124213219	0.4821011863
507	0.8124573231	0.4820491898
508	0.8124886155	0.4820048032
509	0.8125174046	0.4819550058
510	0.8125633001	0.4818978588
511	0.8125946224	0.4818423611
512	0.8126373887	0.481783941
513	0.8126679659	0.4817284144
514	0.8127087355	0.4816791956
515	0.8127531707	0.481626765
516	0.8127867579	0.4815741319
517	0.8128157556	0.4815291088
518	0.8128371239	0.4814828704
519	0.8128618002	0.4814355035
520	0.8128968775	0.4813844907
521	0.812926054	0.4813324363
522	0.8129500151	0.4812794271
523	0.8129802346	0.481229456
524	0.8130132854	0.4811831597
525	0.8130456805	0.4811382234
526	0.8130729198	0.481094213
527	0.8130967617	0.4810372396
528	0.8131348491	0.480987066
529	0.813167274	0.4809351273
530	0.813208282	0.4808832465
531	0.8132488728	0.4808317998
532	0.813277483	0.4807811343
533	0.8133155704	0.4807314236
534	0.8133520484	0.4806833623
535	0.8133761287	0.4806381944
536	0.8134016991	0.4805926215
537	0.8134262562	0.4805523727
538	0.8134479225	0.4805074074
539	0.8134877682	0.480455787
540	0.8135283589	0.4804045428
541	0.8135607243	0.4803565972
542	0.8135911822	0.4803059028
543	0.8136273026	0.4802599537
544	0.8136684	0.4802082465
545	0.8137003183	0.48015489
546	0.8137264252	0.4801117477
547	0.8137695193	0.4800604745
548	0.8138065934	0.4800146701
549	0.8138456345	0.4799589699
550	0.8138749599	0.4799123553
551	0.8139029145	0.4798671875
552	0.8139383793	0.4798140914
553	0.8139696121	0.4797664641
554	0.8139998019	0.4797244792
555	0.8140335679	0.4796717882
556	0.8140597939	0.4796185185
557	0.8141025901	0.4795717882
558	0.8141335845	0.4795256655
559	0.8141611814	0.4794870949
560	0.8141925931	0.4794431424
561	0.8142316639	0.4793940683
562	0.8142648041	0.4793483218
563	0.8142946362	0.4793024884
564	0.814330399	0.4792493924
565	0.8143649995	0.4791953993
566	0.814394474	0.4791490741
567	0.814421773	0.4791060475
568	0.8144663572	0.4790540509
569	0.8144944906	0.4790104456
570	0.8145285249	0.478959809
571	0.8145598471	0.4789077546
572	0.8145973086	0.4788561921
573	0.8146207333	0.4788173322
574	0.8146572113	0.4787751157
575	0.8146782517	0.4787371817
576	0.8147163987	0.4786891204
577	0.8147518933	0.4786483796
578	0.8147840202	0.4786021412
579	0.8148077726	0.4785661169
580	0.8148329854	0.478519213
581	0.8148652017	0.4784788773
582	0.8148946762	0.478440625
583	0.8149287105	0.4783958912
584	0.814958632	0.4783543692
585	0.8150022626	0.4783003762
586	0.815038234	0.4782573785
587	0.8150676489	0.4782112847
588	0.8150979877	0.4781686921
589	0.8151164055	0.4781284722
590	0.815155983	0.4780769676
591	0.815202117	0.4780230613
592	0.8152186871	0.4779855613
593	0.8152461648	0.4779434317
